20240719-101249
Epoch 0/5 ,Loss 9.175,heat_loss_new 4.165,tv_loss 4.944,nps 0.066 
Epoch 0/5 ,Loss 11.281,heat_loss_new 6.281,tv_loss 4.933,nps 0.066 
Epoch 0/5 ,Loss 9.816,heat_loss_new 4.829,tv_loss 4.922,nps 0.066 
Epoch 0/5 ,Loss 9.888,heat_loss_new 4.912,tv_loss 4.910,nps 0.066 
Epoch 0/5 ,Loss 11.274,heat_loss_new 6.310,tv_loss 4.898,nps 0.066 
Epoch 0/5 ,Loss 11.233,heat_loss_new 6.281,tv_loss 4.887,nps 0.066 
Epoch 0/5 ,Loss 11.266,heat_loss_new 6.325,tv_loss 4.876,nps 0.066 
Epoch 0/5 ,Loss 9.638,heat_loss_new 4.707,tv_loss 4.865,nps 0.066 
Epoch 0/5 ,Loss 11.474,heat_loss_new 6.555,tv_loss 4.854,nps 0.065 
Epoch 0/5 ,Loss 11.032,heat_loss_new 6.124,tv_loss 4.843,nps 0.065 
Epoch 0/5 ,Loss 11.710,heat_loss_new 6.813,tv_loss 4.832,nps 0.065 
Epoch 0/5 ,Loss 10.222,heat_loss_new 5.336,tv_loss 4.821,nps 0.065 
Epoch 0/5 ,Loss 10.120,heat_loss_new 5.244,tv_loss 4.811,nps 0.065 
Epoch 0/5 ,Loss 11.232,heat_loss_new 6.366,tv_loss 4.801,nps 0.065 
Epoch 0/5 ,Loss 10.787,heat_loss_new 5.931,tv_loss 4.791,nps 0.065 
Epoch 0/5 ,Loss 10.145,heat_loss_new 5.299,tv_loss 4.781,nps 0.065 
Epoch 0/5 ,Loss 10.486,heat_loss_new 5.650,tv_loss 4.771,nps 0.065 
Epoch 0/5 ,Loss 9.750,heat_loss_new 4.923,tv_loss 4.761,nps 0.065 
Epoch 0/5 ,Loss 10.757,heat_loss_new 5.941,tv_loss 4.751,nps 0.065 
Epoch 0/5 ,Loss 10.210,heat_loss_new 5.405,tv_loss 4.741,nps 0.065 
Epoch 0/5 ,Loss 11.032,heat_loss_new 6.237,tv_loss 4.731,nps 0.065 
Epoch 0/5 ,Loss 9.856,heat_loss_new 5.071,tv_loss 4.720,nps 0.065 
Epoch 0/5 ,Loss 10.014,heat_loss_new 5.240,tv_loss 4.710,nps 0.065 
Epoch 0/5 ,Loss 10.256,heat_loss_new 5.493,tv_loss 4.699,nps 0.064 
Epoch 0/5 ,Loss 9.881,heat_loss_new 5.128,tv_loss 4.688,nps 0.064 
Epoch 0/5 ,Loss 9.415,heat_loss_new 4.674,tv_loss 4.677,nps 0.064 
Epoch 0/5 ,Loss 8.966,heat_loss_new 4.237,tv_loss 4.665,nps 0.064 
Epoch 0/5 ,Loss 11.461,heat_loss_new 6.744,tv_loss 4.653,nps 0.064 
Epoch 0/5 ,Loss 10.230,heat_loss_new 5.523,tv_loss 4.643,nps 0.064 
Epoch 0/5 ,Loss 11.214,heat_loss_new 6.519,tv_loss 4.632,nps 0.064 
Epoch 0/5 ,Loss 10.843,heat_loss_new 6.158,tv_loss 4.621,nps 0.064 
Epoch 0/5 ,Loss 8.579,heat_loss_new 3.903,tv_loss 4.612,nps 0.064 
Epoch 0/5 ,Loss 11.024,heat_loss_new 6.357,tv_loss 4.603,nps 0.064 
Epoch 0/5 ,Loss 10.153,heat_loss_new 5.495,tv_loss 4.593,nps 0.064 
Epoch 0/5 ,Loss 10.495,heat_loss_new 5.846,tv_loss 4.585,nps 0.064 
Epoch 0/5 ,Loss 11.137,heat_loss_new 6.497,tv_loss 4.577,nps 0.064 
Epoch 0/5 ,Loss 10.778,heat_loss_new 6.146,tv_loss 4.568,nps 0.064 
Epoch 0/5 ,Loss 9.927,heat_loss_new 5.304,tv_loss 4.559,nps 0.063 
Epoch 0/5 ,Loss 9.311,heat_loss_new 4.698,tv_loss 4.550,nps 0.063 
Epoch 0/5 ,Loss 10.911,heat_loss_new 6.308,tv_loss 4.540,nps 0.063 
Epoch 0/5 ,Loss 10.112,heat_loss_new 5.518,tv_loss 4.531,nps 0.063 
Epoch 0/5 ,Loss 9.703,heat_loss_new 5.119,tv_loss 4.521,nps 0.063 
Epoch 0/5 ,Loss 11.607,heat_loss_new 7.032,tv_loss 4.512,nps 0.063 
Epoch 0/5 ,Loss 9.500,heat_loss_new 4.934,tv_loss 4.503,nps 0.063 
Epoch 0/5 ,Loss 11.659,heat_loss_new 7.101,tv_loss 4.495,nps 0.063 
Epoch 0/5 ,Loss 11.823,heat_loss_new 7.274,tv_loss 4.486,nps 0.063 
Epoch 0/5 ,Loss 10.840,heat_loss_new 6.298,tv_loss 4.478,nps 0.063 
Epoch 0/5 ,Loss 10.557,heat_loss_new 6.024,tv_loss 4.470,nps 0.063 
Epoch 0/5 ,Loss 9.748,heat_loss_new 5.223,tv_loss 4.462,nps 0.063 
Epoch 0/5 ,Loss 10.554,heat_loss_new 6.037,tv_loss 4.454,nps 0.063 
Epoch 0/5 ,Loss 10.043,heat_loss_new 5.535,tv_loss 4.445,nps 0.063 
Epoch 0/5 ,Loss 10.837,heat_loss_new 6.338,tv_loss 4.436,nps 0.063 
Epoch 0/5 ,Loss 11.241,heat_loss_new 6.751,tv_loss 4.427,nps 0.063 
Epoch 0/5 ,Loss 9.605,heat_loss_new 5.124,tv_loss 4.418,nps 0.063 
Epoch 0/5 ,Loss 10.138,heat_loss_new 5.666,tv_loss 4.410,nps 0.063 
Epoch 0/5 ,Loss 9.989,heat_loss_new 5.524,tv_loss 4.402,nps 0.063 
Epoch 0/5 ,Loss 10.410,heat_loss_new 5.954,tv_loss 4.394,nps 0.062 
Epoch 0/5 ,Loss 10.792,heat_loss_new 6.344,tv_loss 4.386,nps 0.062 
Epoch 0/5 ,Loss 10.163,heat_loss_new 5.722,tv_loss 4.378,nps 0.062 
Epoch 0/5 ,Loss 11.143,heat_loss_new 6.711,tv_loss 4.370,nps 0.062 
Epoch 0/5 ,Loss 10.754,heat_loss_new 6.329,tv_loss 4.362,nps 0.062 
Epoch 0/5 ,Loss 10.183,heat_loss_new 5.766,tv_loss 4.355,nps 0.062 
Epoch 0/5 ,Loss 11.298,heat_loss_new 6.889,tv_loss 4.347,nps 0.062 
Epoch 0/5 ,Loss 9.477,heat_loss_new 5.075,tv_loss 4.340,nps 0.062 
Epoch 0/5 ,Loss 9.239,heat_loss_new 4.844,tv_loss 4.333,nps 0.062 
Epoch 0/5 ,Loss 9.572,heat_loss_new 5.185,tv_loss 4.325,nps 0.062 
Epoch 0/5 ,Loss 9.933,heat_loss_new 5.555,tv_loss 4.316,nps 0.062 
Epoch 0/5 ,Loss 10.977,heat_loss_new 6.607,tv_loss 4.307,nps 0.062 
Epoch 0/5 ,Loss 10.411,heat_loss_new 6.051,tv_loss 4.298,nps 0.062 
Epoch 0/5 ,Loss 9.601,heat_loss_new 5.250,tv_loss 4.289,nps 0.062 
Epoch 0/5 ,Loss 9.114,heat_loss_new 4.772,tv_loss 4.280,nps 0.062 
Epoch 0/5 ,Loss 10.741,heat_loss_new 6.409,tv_loss 4.270,nps 0.062 
Epoch 0/5 ,Loss 10.430,heat_loss_new 6.108,tv_loss 4.260,nps 0.062 
Epoch 0/5 ,Loss 10.313,heat_loss_new 6.001,tv_loss 4.251,nps 0.062 
Epoch 0/5 ,Loss 9.615,heat_loss_new 5.312,tv_loss 4.242,nps 0.061 
Epoch 0/5 ,Loss 9.857,heat_loss_new 5.563,tv_loss 4.232,nps 0.061 
Epoch 0/5 ,Loss 9.148,heat_loss_new 4.864,tv_loss 4.223,nps 0.061 
Epoch 0/5 ,Loss 10.256,heat_loss_new 5.981,tv_loss 4.213,nps 0.061 
